,Name,Album,Artist
0,Fearless Pt. II,NCS: The Best of 2017,Various Artists
1,Fearless,Fearless,Lost Sky
2,Ark,Ark,Star Party
3,Supersonic,Supersonic,Rob Gasser
4,Fearless Pt. II,NCS: The Best of 2017,Various Artists
5,Mortals,Mortals,Warriyo
6,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak
7,Fearless,Fearless,Lost Sky
8,Ark,Ark,Star Party
9,Ark,Ark,Star Party
10,Mortals,Mortals,Warriyo
11,Horizon,Dying Light (Original Game Soundtrack),Pawel Blaszczak
12,Supersonic,Supersonic,Rob Gasser
13,Feel Good,Feel Good,Syn Cole
